Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
440 359 2.44 0 0.0 0 359
442 359 2.44 0 0.0 0 359
444 359 2.44 0 0.0 0 359
446 359 2.44 0 0.0 0 359
448 359 2.44 0 0.0 0 359
450 359 2.44 0 0.0 0 359
452 359 2.44 0 0.0 0 359
454 359 2.44 0 0.0 0 359
456 359 2.44 0 0.0 0 359
458 359 2.44 0 0.0 0 359
460 359 2.44 0 0.0 0 359
462 359 2.44 0 0.0 0 359
464 359 2.44 0 0.0 0 359
466 359 2.44 0 0.0 0 359
468 359 2.44 0 0.0 0 359
470 359 2.44 0 0.0 0 359
472 359 2.44 0 0.0 0 359
474 359 2.44 0 0.0 0 359
476 359 2.44 0 0.0 0 359
478 359 2.44 0 0.0 0 359
480 359 2.44 0 0.0 0 359
482 359 2.44 0 0.0 0 359
484 359 2.44 0 0.0 0 359
486 359 2.44 0 0.0 0 359
488 359 2.44 0 0.0 0 359
490 359 2.44 0 0.0 0 359
492 359 2.44 0 0.0 0 359
494 359 2.44 0 0.0 0 359
496 359 2.44 0 0.0 0 359
498 359 2.44 0 0.0 0 359
500 359 2.44 0 0.0 0 359
502 359 2.44 0 0.0 0 359
504 359 2.44 0 0.0 0 359
506 359 2.44 0 0.0 0 359
508 359 2.44 0 0.0 0 359
510 359 2.44 0 0.0 0 359
512 359 2.44 0 0.0 0 359
514 359 2.44 0 0.0 0 359
516 359 2.44 0 0.0 0 359
518 359 2.44 0 0.0 0 359
520 359 2.44 0 0.0 0 359
522 359 2.44 0 0.0 0 359
524 359 2.44 0 0.0 0 359
526 359 2.44 0 0.0 0 359
528 359 2.44 0 0.0 0 359
530 359 2.44 0 0.0 0 359
532 359 2.44 0 0.0 0 359
534 359 2.44 0 0.0 0 359
536 359 2.44 0 0.0 0 359
538 359 2.44 0 0.0 0 359
540 359 2.44 0 0.0 0 359
542 359 2.44 0 0.0 0 359
544 359 2.44 0 0.0 0 359
546 359 2.44 0 0.0 0 359
548 359 2.44 0 0.0 0 359
550 359 2.44 0 0.0 0 359
552 359 2.44 0 0.0 0 359
554 359 2.44 0 0.0 0 359
556 359 2.44 0 0.0 0 359
558 359 2.44 0 0.0 0 359
560 359 2.44 0 0.0 0 359
562 359 2.44 0 0.0 0 359
564 359 2.44 0 0.0 0 359
566 359 2.44 0 0.0 0 359
568 359 2.44 0 0.0 0 359
570 359 2.44 0 0.0 0 359
572 359 2.44 0 0.0 0 359
574 359 2.44 0 0.0 0 359
576 359 2.44 0 0.0 0 359
578 359 2.44 0 0.0 0 359
580 359 2.44 0 0.0 0 359
582 359 2.44 0 0.0 0 359
584 359 2.44 0 0.0 0 359
586 359 2.44 0 0.0 0 359
588 359 2.44 0 0.0 0 359
590 359 2.44 0 0.0 0 359
592 359 2.44 0 0.0 0 359
594 359 2.44 0 0.0 0 359
596 359 2.44 0 0.0 0 359
598 359 2.44 0 0.0 0 359
600 359 2.44 0 0.0 0 359
602 359 2.44 0 0.0 0 359
604 359 2.44 0 0.0 0 359
606 359 2.44 0 0.0 0 359
608 359 2.44 0 0.0 0 359
610 359 2.44 0 0.0 0 359
612 359 2.44 0 0.0 0 359
614 359 2.44 0 0.0 0 359
616 359 2.44 0 0.0 0 359
618 359 2.44 0 0.0 0 359
620 359 2.44 0 0.0 0 359
622 359 2.44 0 0.0 0 359
