Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
1218 344 2.59 0 0.0 0 344
1220 344 2.59 0 0.0 0 344
1222 344 2.59 0 0.0 0 344
1224 344 2.59 0 0.0 0 344
1226 344 2.59 0 0.0 0 344
1228 344 2.59 0 0.0 0 344
1230 344 2.59 0 0.0 0 344
1232 344 2.59 0 0.0 0 344
1234 344 2.59 0 0.0 0 344
1236 344 2.59 0 0.0 0 344
1238 344 2.59 0 0.0 0 344
1240 344 2.59 0 0.0 0 344
1242 344 2.59 0 0.0 0 344
1244 344 2.59 0 0.0 0 344
1246 344 2.59 0 0.0 0 344
1248 344 2.59 0 0.0 0 344
1250 344 2.59 0 0.0 0 344
1252 344 2.59 0 0.0 0 344
1254 344 2.59 0 0.0 0 344
1256 344 2.59 0 0.0 0 344
1258 344 2.59 0 0.0 0 344
1260 344 2.59 0 0.0 0 344
1262 344 2.59 0 0.0 0 344
1264 344 2.59 0 0.0 0 344
1266 344 2.59 0 0.0 0 344
1268 344 2.59 0 0.0 0 344
1270 344 2.59 0 0.0 0 344
1272 344 2.59 0 0.0 0 344
1274 344 2.59 0 0.0 0 344
1276 344 2.59 0 0.0 0 344
1278 344 2.59 0 0.0 0 344
1280 344 2.59 0 0.0 0 344
1282 344 2.59 0 0.0 0 344
1284 344 2.59 0 0.0 0 344
1286 344 2.59 0 0.0 0 344
1288 344 2.59 0 0.0 0 344
1290 344 2.59 0 0.0 0 344
1292 344 2.59 0 0.0 0 344
1294 344 2.59 0 0.0 0 344
1296 344 2.59 0 0.0 0 344
1298 344 2.59 0 0.0 0 344
1300 344 2.59 0 0.0 0 344
1302 344 2.59 0 0.0 0 344
1304 344 2.59 0 0.0 0 344
1306 344 2.59 0 0.0 0 344
1308 344 2.59 0 0.0 0 344
1310 344 2.59 0 0.0 0 344
1312 344 2.59 0 0.0 0 344
1314 344 2.59 0 0.0 0 344
1316 344 2.59 0 0.0 0 344
1318 344 2.59 0 0.0 0 344
1320 344 2.59 0 0.0 0 344
1322 344 2.59 0 0.0 0 344
1324 344 2.59 0 0.0 0 344
1326 344 2.59 0 0.0 0 344
1328 344 2.59 0 0.0 0 344
1330 344 2.59 0 0.0 0 344
1332 344 2.59 0 0.0 0 344
1334 344 2.59 0 0.0 0 344
1336 344 2.59 0 0.0 0 344
1338 344 2.59 0 0.0 0 344
1340 344 2.59 0 0.0 0 344
1342 344 2.59 0 0.0 0 344
1344 344 2.59 0 0.0 0 344
1346 344 2.59 0 0.0 0 344
1348 344 2.59 0 0.0 0 344
1350 344 2.59 0 0.0 0 344
1352 344 2.59 0 0.0 0 344
1354 344 2.59 0 0.0 0 344
1356 344 2.59 0 0.0 0 344
1358 344 2.59 0 0.0 0 344
1360 344 2.59 0 0.0 0 344
1362 344 2.59 0 0.0 0 344
1364 344 2.59 0 0.0 0 344
1366 344 2.59 0 0.0 0 344
1368 344 2.59 0 0.0 0 344
1370 344 2.59 0 0.0 0 344
1372 344 2.59 0 0.0 0 344
1374 344 2.59 0 0.0 0 344
1376 344 2.59 0 0.0 0 344
1378 344 2.59 0 0.0 0 344
1380 344 2.59 0 0.0 0 344
1382 344 2.59 0 0.0 0 344
1384 344 2.59 0 0.0 0 344
1386 344 2.59 0 0.0 0 344
1388 344 2.59 0 0.0 0 344
1390 344 2.59 0 0.0 0 344
1392 344 2.59 0 0.0 0 344
1394 344 2.59 0 0.0 0 344
1396 344 2.59 0 0.0 0 344
1398 344 2.59 0 0.0 0 344
1400 344 2.59 0 0.0 0 344
1402 344 2.59 0 0.0 0 344
1404 344 2.59 0 0.0 0 344
1406 344 2.59 0 0.0 0 344
1408 344 2.59 0 0.0 0 344
1410 344 2.59 0 0.0 0 344
1412 344 2.59 0 0.0 0 344
1414 344 2.59 0 0.0 0 344
1416 344 2.59 0 0.0 0 344
